obs_key,status
PACE_OCI.20250224T203956.L2.OC_AOP.V3_1.nc||50,OBS_DONE
PACE_OCI.20250304T202407.L2.OC_AOP.V3_1.nc||51,OBS_DONE
PACE_OCI.20250310T204032.L2.OC_AOP.V3_1.nc||52,OBS_DONE
PACE_OCI.20250317T195400.L2.OC_AOP.V3_1.nc||53,OBS_DONE
PACE_OCI.20250324T204538.L2.OC_AOP.V3_1.nc||54,NO_VALID_PIXELS_5x5
PACE_OCI.20250414T195735.L2.OC_AOP.V3_1.nc||57,OBS_DONE
PACE_OCI.20250414T200235.L2.OC_AOP.V3_1.nc||57,OBS_DONE
PACE_OCI.20250421T204831.L2.OC_AOP.V3_1.nc||58,NO_VALID_PIXELS_5x5
PACE_OCI.20250428T200053.L2.OC_AOP.V3_1.nc||59,OBS_DONE
PACE_OCI.20250505T205126.L2.OC_AOP.V3_1.nc||60,OBS_DONE
PACE_OCI.20250512T200330.L2.OC_AOP.V3_1.nc||61,NO_VALID_PIXELS_5x5
PACE_OCI.20250519T205402.L2.OC_AOP.V3_1.nc||62,OBS_DONE
PACE_OCI.20250527T204128.L2.OC_AOP.V3_1.nc||63,NO_VALID_PIXELS_5x5
PACE_OCI.20250602T205630.L2.OC_AOP.V3_1.nc||64,NO_VALID_PIXELS_5x5
PACE_OCI.20250609T200821.L2.OC_AOP.V3_1.nc||65,NO_VALID_PIXELS_5x5
PACE_OCI.20250616T192001.L2.OC_AOP.V3_1.nc||66,NO_VALID_PIXELS_5x5
PACE_OCI.20250616T205822.L2.OC_AOP.V3_1.nc||66,OBS_DONE
PACE_OCI.20250623T200956.L2.OC_AOP.V3_1.nc||67,OBS_DONE
PACE_OCI.20250630T192121.L2.OC_AOP.V3_1.nc||68,NO_VALID_PIXELS_5x5
PACE_OCI.20250630T205942.L2.OC_AOP.V3_1.nc||68,NO_VALID_PIXELS_5x5
PACE_OCI.20250707T201101.L2.OC_AOP.V3_1.nc||69,OBS_DONE
PACE_OCI.20250714T192212.L2.OC_AOP.V3_1.nc||70,NO_VALID_PIXELS_5x5
PACE_OCI.20250714T210033.L2.OC_AOP.V3_1.nc||70,NO_VALID_PIXELS_5x5
PACE_OCI.20250721T201138.L2.OC_AOP.V3_1.nc||71,OBS_DONE
PACE_OCI.20250728T192235.L2.OC_AOP.V3_1.nc||72,NO_VALID_PIXELS_5x5
PACE_OCI.20250728T210056.L2.OC_AOP.V3_1.nc||72,OBS_DONE
PACE_OCI.20250804T201146.L2.OC_AOP.V3_1.nc||73,NO_VALID_PIXELS_5x5
PACE_OCI.20250811T192229.L2.OC_AOP.V3_1.nc||74,NO_VALID_PIXELS_5x5
PACE_OCI.20250811T210050.L2.OC_AOP.V3_1.nc||74,NO_VALID_PIXELS_5x5
PACE_OCI.20250818T201128.L2.OC_AOP.V3_1.nc||75,OBS_DONE
PACE_OCI.20250825T192701.L2.OC_AOP.V3_1.nc||76,NO_VALID_PIXELS_5x5
PACE_OCI.20250825T210021.L2.OC_AOP.V3_1.nc||76,NO_VALID_PIXELS_5x5
PACE_OCI.20250902T204553.L2.OC_AOP.V3_1.nc||77,OBS_DONE
PACE_OCI.20250902T205053.L2.OC_AOP.V3_1.nc||77,NO_VALID_PIXELS_5x5
PACE_OCI.20250908T192609.L2.OC_AOP.V3_1.nc||78,OBS_DONE
PACE_OCI.20250908T210429.L2.OC_AOP.V3_1.nc||78,OBS_DONE
PACE_OCI.20250915T201441.L2.OC_AOP.V3_1.nc||79,OBS_DONE
PACE_OCI.20250922T192451.L2.OC_AOP.V3_1.nc||80,NO_VALID_PIXELS_5x5
PACE_OCI.20250922T210311.L2.OC_AOP.V3_1.nc||80,OBS_DONE
PACE_OCI.20250929T201315.L2.OC_AOP.V3_1.nc||81,OBS_DONE
PACE_OCI.20251006T192307.L2.OC_AOP.V3_1.nc||82,NO_VALID_PIXELS_5x5
PACE_OCI.20251006T210127.L2.OC_AOP.V3_1.nc||82,NO_VALID_PIXELS_5x5
PACE_OCI.20251013T201113.L2.OC_AOP.V3_1.nc||83,NO_VALID_PIXELS_5x5
PACE_OCI.20251013T201613.L2.OC_AOP.V3_1.nc||83,NO_VALID_PIXELS_5x5
PACE_OCI.20251020T192555.L2.OC_AOP.V3_1.nc||84,OBS_DONE
PACE_OCI.20251020T205915.L2.OC_AOP.V3_1.nc||84,OBS_DONE
PACE_OCI.20251020T210415.L2.OC_AOP.V3_1.nc||84,NO_VALID_PIXELS_5x5
PACE_OCI.20251027T201353.L2.OC_AOP.V3_1.nc||85,OBS_DONE
PACE_OCI.20251103T192327.L2.OC_AOP.V3_1.nc||86,NO_VALID_PIXELS_5x5
PACE_OCI.20251103T210147.L2.OC_AOP.V3_1.nc||86,OBS_DONE
PACE_OCI.20251110T201121.L2.OC_AOP.V3_1.nc||87,OBS_DONE
PACE_OCI.20251117T192051.L2.OC_AOP.V3_1.nc||88,NO_VALID_PIXELS_5x5
PACE_OCI.20251117T205911.L2.OC_AOP.V3_1.nc||88,NO_VALID_PIXELS_5x5
PACE_OCI.20251201T205627.L2.OC_AOP.V3_1.nc||89,OBS_DONE
PACE_OCI.20251208T200556.L2.OC_AOP.V3_1.nc||90,OBS_DONE
PACE_OCI.20251215T192025.L2.OC_AOP.V3_1.nc||91,NO_VALID_PIXELS_5x5
PACE_OCI.20251215T205344.L2.OC_AOP.V3_1.nc||91,NO_VALID_PIXELS_5x5
